Name,Branch wrong orientation,Missing grounding,Missing label,Missing wire,Tailing missing,Taping incorrect
IMG_1685.jpg,0,1,1,0,0,0
IMG_1686.jpg,0,1,1,0,0,0
IMG_1687.jpg,0,1,1,0,0,0
IMG_1688.jpg,0,1,0,0,0,0
IMG_1689.jpg,0,1,0,0,0,0
IMG_1690.jpg,0,1,0,0,0,0
IMG_1691.jpg,0,1,0,0,0,0
IMG_1692.jpg,0,1,0,0,0,0
IMG_1693.jpg,0,0,0,0,0,0
IMG_1694.jpg,0,0,0,0,0,0
IMG_1695.jpg,0,0,0,0,0,0
IMG_1696.jpg,0,0,0,0,0,0
IMG_1697.jpg,0,0,0,0,0,0
IMG_1698.jpg,0,0,0,0,0,0
IMG_1699.jpg,0,0,0,0,0,0
IMG_1700.jpg,0,0,0,0,0,0
IMG_1701.jpg,0,0,0,0,0,0
IMG_1702.jpg,0,0,0,0,0,0
IMG_1703.jpg,0,0,0,0,0,0
IMG_1704.jpg,0,0,0,0,0,0
IMG_1705.jpg,0,0,0,0,0,0
IMG_1706.jpg,0,0,0,0,0,0
IMG_1707.jpg,0,0,0,0,0,0
IMG_1708.jpg,0,0,0,0,0,0
IMG_1709.jpg,0,0,0,0,0,0
IMG_1710.jpg,0,0,0,0,0,0
IMG_1711.jpg,0,0,0,0,0,0
IMG_1712.jpg,0,0,0,0,0,0
IMG_1713.jpg,0,0,0,0,0,0
IMG_1714.jpg,0,0,0,0,0,0
IMG_1715.jpg,0,0,0,0,0,0
IMG_1716.jpg,0,0,0,0,0,0
IMG_1717.jpg,0,0,0,0,0,0
IMG_1718.jpg,0,0,0,0,0,0
IMG_1719.jpg,0,0,1,0,0,0
IMG_1720.jpg,0,0,1,0,0,0
IMG_1721.jpg,0,0,0,0,0,0
IMG_1722.jpg,0,0,0,0,0,0
IMG_1723.jpg,0,0,0,0,0,0
IMG_1724.jpg,0,0,0,0,0,0
IMG_1725.jpg,0,0,0,0,0,0
IMG_1726.jpg,0,0,0,0,0,0
IMG_1727.jpg,0,0,0,0,0,0
IMG_1728.jpg,0,0,0,0,0,0
IMG_1729.jpg,0,0,0,0,0,0
IMG_1730.jpg,0,0,0,0,0,0
IMG_1731.jpg,0,0,0,0,0,0
IMG_1732.jpg,0,0,0,0,0,0
IMG_1733.jpg,0,0,0,0,0,0
IMG_1734.jpg,0,0,0,0,0,0
IMG_1735.jpg,0,0,0,0,0,0
IMG_1736.jpg,0,0,0,0,0,0
IMG_1737.jpg,0,0,0,0,0,0
IMG_1738.jpg,0,0,0,0,0,0
IMG_1739.jpg,0,0,0,0,0,0
IMG_1740.jpg,0,0,0,0,0,0
IMG_1741.jpg,0,0,0,0,0,0
IMG_1742.jpg,0,0,0,0,0,0
IMG_1743.jpg,0,0,0,0,0,0
IMG_1744.jpg,0,0,0,0,0,0
IMG_1745.jpg,0,0,0,0,0,0
IMG_1746.jpg,0,0,0,0,0,0
